Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,PDB EXPDTA PH,Standard Value
CHEMBL3936975,-8.976,-0.243,-0.808,-1.947,-9.012,-3.886,-0.155,-1.719,-62.332,-4.59,0.579,-0.025,-103.246,-66.922,,1000.0
CHEMBL3936996,-9.811,-0.273,-0.9,-2.14,-9.815,-4.41,-0.287,-1.614,-57.089,-7.77,0.515,0.0,-99.499,-64.858,,100.0
CHEMBL3937006,-8.816,-0.339,-1.004,-2.07,-8.816,-4.016,-0.552,-1.641,-46.884,-7.596,0.886,-0.008,-77.744,-54.481,,2062.0
CHEMBL3937335,-10.551,-0.271,-0.917,-2.262,-10.551,-4.467,-0.211,-1.665,-63.994,-9.899,0.488,-0.011,-115.825,-73.894,,1000.0
CHEMBL3937404,-7.395,-0.185,-0.632,-1.577,-7.4,-3.614,-0.086,-0.424,-58.02,-5.266,0.433,-0.019,-83.9,-63.286,,100.0
CHEMBL3937613,-9.967,-0.332,-1.032,-2.265,-9.967,-4.327,-0.592,-1.902,-50.75,-8.092,0.606,0.0,-92.099,-58.842,,124.0
CHEMBL3937694,-8.798,-0.338,-1.002,-2.066,-8.799,-3.983,-0.107,-2.125,-53.063,-3.39,0.578,0.0,-86.157,-56.453,,2047.0
CHEMBL3937950,-10.723,-0.282,-0.949,-2.312,-10.723,-3.24,-0.41,-3.003,-62.601,-9.895,0.657,-0.113,-110.776,-72.497,,6.6
CHEMBL3937953,-11.409,-0.423,-1.268,-2.656,-11.41,-4.033,-0.32,-2.524,-50.852,-16.529,0.523,-0.033,-121.902,-67.381,,3083.0
CHEMBL3938085,-9.923,-0.354,-1.076,-2.29,-9.923,-4.117,-0.272,-2.368,-52.357,-8.253,0.69,0.0,-100.041,-60.61,,1000.0
CHEMBL3938166,-10.286,-0.245,-0.851,-2.171,-10.286,-4.435,-0.308,-1.556,-63.52,-7.486,0.32,-0.008,-111.036,-71.005,,1000.0
CHEMBL3938253,-10.408,-0.325,-1.033,-2.331,-10.408,-3.931,-0.478,-2.235,-54.563,-9.831,0.534,-0.096,-105.569,-64.394,,100.0
CHEMBL3938296,-10.748,-0.413,-1.225,-2.524,-10.749,-3.773,-0.099,-2.548,-52.166,-15.12,0.559,-0.011,-119.496,-67.286,,564.0
CHEMBL3938325,-9.458,-0.263,-0.867,-2.063,-9.502,-3.343,0.0,-2.634,-61.968,-6.301,0.519,-0.001,-100.068,-68.269,,6.7
CHEMBL3938382,-8.478,-0.303,-0.919,-1.957,-8.545,-3.362,-0.207,-2.256,-47.868,-8.429,0.938,0.0,-79.314,-56.297,,1029.0
CHEMBL3938709,-10.362,-0.314,-1.007,-2.304,-10.438,-3.674,-0.213,-3.265,-60.427,-5.737,0.595,0.0,-101.428,-66.163,,13.4
CHEMBL3938766,-10.788,-0.317,-1.028,-2.383,-10.788,-3.907,-0.038,-3.218,-64.819,-6.379,0.652,-0.079,-108.785,-71.198,,6.2
CHEMBL3938824,-11.216,-0.32,-1.048,-2.462,-11.216,-3.64,-0.534,-3.133,-55.385,-11.792,0.716,-0.087,-105.436,-67.177,,3.3
CHEMBL3938948,-6.857,-0.19,-0.629,-1.496,-6.857,-2.542,-0.233,-0.91,-46.704,-8.902,0.56,-0.063,-69.325,-55.606,,1000.0
CHEMBL3939266,-8.744,-0.397,-1.114,-2.137,-8.744,-3.321,-0.516,-2.579,-41.778,-7.087,0.825,0.0,-73.573,-48.864,,8673.0
CHEMBL3939338,-10.164,-0.35,-1.077,-2.327,-10.164,-3.909,-0.362,-2.175,-52.255,-9.804,0.457,-0.092,-104.206,-62.059,,254.0
CHEMBL3939426,-9.361,-0.334,-1.015,-2.161,-9.538,-3.515,-0.601,-1.838,-52.046,-10.582,0.605,0.0,-98.122,-62.628,,23.0
CHEMBL3939893,-8.503,-0.25,-0.81,-1.878,-8.513,-3.146,-0.336,-1.055,-47.129,-13.646,0.527,-0.1,-100.451,-60.775,,23.0
CHEMBL3940306,-8.502,-0.37,-1.051,-2.056,-8.502,-2.956,-0.256,-2.789,-43.964,-5.84,0.574,0.0,-74.325,-49.804,,2256.0
CHEMBL3940314,-9.889,-0.275,-0.907,-2.158,-9.9,-4.365,-0.271,-1.52,-60.546,-8.612,0.575,0.0,-109.972,-69.158,,100.0
CHEMBL3940329,-7.725,-0.351,-0.984,-1.888,-7.725,-2.783,-0.148,-3.262,-39.338,-1.233,0.619,0.0,-59.44,-40.571,,4169.0
CHEMBL3940395,-10.173,-0.351,-1.078,-2.329,-10.225,-3.405,-0.387,-1.954,-43.944,-21.046,0.907,-0.033,-110.254,-64.99,,640.0
CHEMBL3940416,-11.474,-0.359,-1.138,-2.569,-11.583,-3.318,-0.458,-3.381,-56.969,-14.751,0.735,-0.1,-123.24,-71.72,,7.5
CHEMBL3940487,-9.758,-0.279,-0.912,-2.142,-9.758,-4.522,-0.249,-1.713,-60.233,-5.368,0.545,-0.004,-98.855,-65.601,,100.0
CHEMBL3940589,-7.955,-0.306,-0.906,-1.868,-7.955,-3.515,-0.208,-2.061,-48.408,-3.98,0.846,0.0,-76.069,-52.388,,516.0
CHEMBL3940600,-10.568,-0.341,-1.071,-2.383,-10.613,-3.951,-0.33,-2.592,-53.65,-10.024,0.446,0.0,-97.87,-63.674,,130.0
CHEMBL3940643,-10.888,-0.272,-0.931,-2.322,-10.888,-4.745,-0.318,-1.556,-62.269,-10.354,0.407,-0.009,-117.316,-72.623,,1000.0
CHEMBL3940677,-5.708,-0.173,-0.555,-1.269,-5.708,-2.696,0.0,-0.732,-56.188,1.228,0.464,-0.119,-65.886,-54.96,,1000.0
CHEMBL3940719,-9.626,-0.26,-0.867,-2.088,-9.626,-3.721,-0.134,-2.243,-56.831,-7.744,0.493,-0.018,-95.256,-64.575,,2.3
CHEMBL3940896,-8.761,-0.337,-0.998,-2.058,-8.761,-3.329,-0.417,-2.467,-47.507,-8.219,1.06,0.0,-83.82,-55.726,,2961.0
CHEMBL3941016,-10.559,-0.278,-0.934,-2.277,-10.559,-4.167,-0.432,-1.533,-59.285,-12.072,0.366,-0.018,-117.361,-71.358,,1000.0
CHEMBL3941034,-8.641,-0.32,-0.96,-2.012,-8.641,-3.705,-0.16,-1.803,-49.908,-7.198,0.602,0.0,-82.532,-57.106,,149.0
CHEMBL3941139,-10.201,-0.364,-1.106,-2.355,-10.241,-3.664,-0.136,-2.419,-44.608,-15.992,0.607,0.0,-100.171,-60.601,,53.0
CHEMBL3941333,-7.862,-0.328,-0.945,-1.882,-7.862,-3.324,-0.16,-1.963,-48.603,-6.671,1.016,0.0,-76.949,-55.273,,2452.0
CHEMBL3941465,-9.742,-0.304,-0.967,-2.182,-9.743,-3.944,-0.297,-2.124,-54.885,-7.714,0.523,0.0,-98.826,-62.599,,100.0
