Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL4107218,-11.492,-0.319,-1.054,-2.507,-11.554,-3.56,-0.28,-2.071,-60.319,-19.354,0.393,-0.116,-128.755,-79.672
CHEMBL4115559,-11.492,-0.302,-1.017,-2.478,-11.492,-4.038,-0.332,-2.957,-63.943,-9.515,0.659,-0.2,-113.118,-73.458
CHEMBL4115098,-11.491,-0.371,-1.164,-2.592,-11.495,-4.26,-0.608,-2.58,-45.564,-14.501,0.446,-0.039,-104.586,-60.065
CHEMBL3899909,-11.481,-0.328,-1.073,-2.52,-11.542,-3.491,-0.342,-2.048,-58.037,-19.864,0.414,-0.193,-139.104,-77.901
CHEMBL4108331,-11.476,-0.31,-1.034,-2.489,-11.569,-4.289,-0.52,-1.768,-51.53,-18.313,0.445,-0.114,-121.182,-69.843
CHEMBL4108331,-11.476,-0.31,-1.034,-2.489,-11.569,-4.289,-0.52,-1.768,-51.53,-18.313,0.445,-0.114,-121.182,-69.843
CHEMBL4107689,-11.475,-0.348,-1.115,-2.552,-11.479,-4.232,-0.608,-2.341,-55.426,-13.04,0.498,-0.069,-112.82,-68.466
CHEMBL3940416,-11.474,-0.359,-1.138,-2.569,-11.583,-3.318,-0.458,-3.381,-56.969,-14.751,0.735,-0.1,-123.24,-71.72
CHEMBL5071152,-11.467,-0.31,-1.033,-2.487,-11.471,-5.057,-0.675,-1.856,-57.241,-10.517,0.581,-0.025,-106.976,-67.759
CHEMBL4113624,-11.442,-0.309,-1.03,-2.481,-11.442,-3.498,-0.883,-2.957,-60.095,-12.601,0.795,-0.003,-113.148,-72.696
CHEMBL4114603,-11.44,-0.369,-1.159,-2.58,-11.494,-3.751,-0.597,-3.25,-49.156,-13.283,0.555,-0.001,-105.005,-62.438
CHEMBL4111058,-11.434,-0.318,-1.049,-2.495,-11.544,-3.567,-0.926,-2.98,-54.236,-13.52,0.669,0,-102.934,-67.756
CHEMBL4112293,-11.426,-0.301,-1.011,-2.464,-11.529,-3.542,-0.611,-2.878,-60.771,-14.11,0.675,-0.018,-115.345,-74.88
CHEMBL4111235,-11.42,-0.309,-1.028,-2.477,-11.42,-3.671,-0.879,-2.413,-61.437,-13.653,0.673,-0.01,-112.876,-75.09
CHEMBL4114244,-11.417,-0.309,-1.028,-2.476,-11.417,-4.107,-0.544,-2.6,-65.644,-9.41,0.645,-0.118,-118.029,-75.054
CHEMBL3976959,-11.411,-0.346,-1.109,-2.538,-11.44,-4.088,-0.54,-2.16,-52.927,-17.065,0.59,-0.035,-107.014,-69.993
CHEMBL3937953,-11.409,-0.423,-1.268,-2.656,-11.41,-4.033,-0.32,-2.524,-50.852,-16.529,0.523,-0.033,-121.902,-67.381
CHEMBL402629,-11.402,-0.475,-1.37,-2.729,-11.432,-3.299,-0.86,-2.987,-39.257,-18.134,0.534,-0.136,-109.999,-57.392
CHEMBL4108787,-11.401,-0.317,-1.046,-2.487,-11.401,-3.875,-0.707,-2.983,-54.511,-12.328,0.75,-0.011,-101.938,-66.839
CHEMBL3896654,-11.398,-0.356,-1.131,-2.552,-11.54,-3.941,-0.837,-2.904,-56.664,-12.401,0.84,-0.005,-112.272,-69.065
CHEMBL4106804,-11.382,-0.345,-1.106,-2.531,-11.462,-3.536,-0.664,-3.224,-58.781,-11.254,0.68,-0.09,-113.239,-70.035
CHEMBL3954623,-11.376,-0.284,-0.973,-2.426,-11.716,-4.883,-0.32,-1.898,-65.962,-10.611,0.274,0,-124.663,-76.573
CHEMBL3954623,-11.372,-0.284,-0.972,-2.425,-11.712,-4.634,-0.681,-1.752,-67.055,-9.639,0.274,-0.121,-125.169,-76.694
CHEMBL4115220,-11.369,-0.406,-1.233,-2.624,-11.426,-3.347,-0.395,-3.227,-46.484,-17.416,0.531,-0.052,-108.551,-63.9
CHEMBL3929809,-11.365,-0.334,-1.083,-2.511,-11.365,-4.224,-0.16,-3.264,-61.385,-7.886,0.672,-0.137,-110.048,-69.271
CHEMBL5094391,-11.357,-0.315,-1.042,-2.478,-11.391,-4.835,-0.581,-1.572,-54.57,-14.593,0.515,0,-113.292,-69.162
CHEMBL4109034,-11.354,-0.315,-1.041,-2.477,-11.354,-3.754,-0.648,-2.721,-63.841,-11.943,0.763,-0.011,-118.572,-75.784
CHEMBL4109973,-11.337,-0.333,-1.08,-2.505,-11.337,-3.77,-0.788,-3.171,-51.405,-11.862,0.742,0,-94.473,-63.267
CHEMBL4109973,-11.337,-0.333,-1.08,-2.505,-11.337,-3.77,-0.788,-3.171,-51.405,-11.862,0.742,0,-94.473,-63.267
CHEMBL4110300,-11.331,-0.306,-1.02,-2.457,-11.987,-4.142,-0.706,-2.919,-65.602,-10.26,0.655,-0.055,-110.317,-75.862
CHEMBL4115019,-11.33,-0.306,-1.02,-2.457,-11.33,-4.071,-0.594,-2.643,-66.073,-7.688,0.636,-0.202,-113.981,-73.762
CHEMBL4107733,-11.329,-0.324,-1.059,-2.487,-11.329,-3.814,-0.636,-2.733,-65.328,-10.629,0.732,-0.018,-118.168,-75.957
