Molecule ChEMBL ID,Smiles
CHEMBL4115180,CCOC(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1
CHEMBL4107960,CC(C)Nc1cc(-n2ccc3cc(CNC(=O)C4CC4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4110170,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1CCOCC1
CHEMBL3923081,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCc1nn[nH]n1
CHEMBL4108032,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](NC(=O)[C@@H](C)O)CC1
CHEMBL3985063,CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NCCC1CC1
CHEMBL4112913,CC[C@@H](C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4106539,CC(C)(O)C1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3ccc4ccccc4n3)c(=O)[nH]2)C1
CHEMBL4107000,O=c1[nH]c(Nc2cncnc2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1
CHEMBL4107488,O=C1CCCN1c1cccc(-c2c(N[C@@H]3CCCNC3)nc(N3CCOCC3)[nH]c2=O)n1
CHEMBL3586508,CC(C)N1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C4CC4)cc3F)n2)CC1
CHEMBL3932967,O=C(Nc1cc(C2CCNCC2)nn1-c1ccc(C2CC2)cn1)c1cnn2cccnc12
CHEMBL3586504,CS(=O)(=O)N1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C4CC4)cc3F)n2)CC1
